127.0.0.1 - - [10/Aug/2017:19:19:20 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:42 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/wb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/logo-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/wx.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/qq.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/m.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:43 +0800] "GET /FinacialSys/assets/img/l.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:49 +0800] "GET /FinacialSys/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:49 +0800] "GET /FinacialSys/index HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:49 +0800] "GET /FinacialSys/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:20:49 +0800] "GET /FinacialSys/assets/img/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:21:17 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:21:25 +0800] "POST /FinacialSys/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:21:25 +0800] "GET /FinacialSys/home HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:21:25 +0800] "GET /FinacialSys/assets/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:21:25 +0800] "GET /FinacialSys/assets/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:21:25 +0800] "GET /FinacialSys/assets/css/font-awesome.min.css HTTP/1.1" 304 -
