127.0.0.1 - - [12/Sep/2017:19:52:06 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:15 +0800] "GET /FinacialSys/home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:17 +0800] "GET /FinacialSys/index HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:17 +0800] "GET /FinacialSys/assets/css/index.css HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:17 +0800] "GET /FinacialSys/assets/img/favicon-20170803111016817.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:17 +0800] "GET /FinacialSys/assets/img/15.jpg HTTP/1.1" 200 869330
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:20 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/css/login.css HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/qq.png HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/logo-1.png HTTP/1.1" 200 115054
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/wx.png HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/wb.png HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/js/login.js HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/indexBg.jpg HTTP/1.1" 200 176649
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/m.png HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:21 +0800] "GET /FinacialSys/assets/img/l.png HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:24 +0800] "POST /FinacialSys/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/home HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/css/reset.css HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/css/homeBg.css HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/css/nav.css HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/css/home.css HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/img/090f611a-97ae-4623-a773-18fccdc730d517645498_091850947000_2.jpg HTTP/1.1" 404 1159
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/img/menu-bg.png HTTP/1.1" 200 8407
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/img/1.jpg HTTP/1.1" 200 211542
0:0:0:0:0:0:0:1 - - [12/Sep/2017:19:52:25 +0800] "GET /FinacialSys/assets/img/3.jpg HTTP/1.1" 200 213922
