127.0.0.1 - - [16/Oct/2017:11:12:44 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:12:45 +0800] "GET /FinacialSys/WEB-INF/views/register.jsp HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:01 +0800] "GET /FinacialSys/WEB-INF/views/plan.jsp HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/js/login.js HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/css/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/css/login.css HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/logo-1.png HTTP/1.1" 200 115054
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/favicon-20170803111016817.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/qq.png HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/wb.png HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/wx.png HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/l.png HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/indexBg.jpg HTTP/1.1" 200 176649
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:23 +0800] "GET /FinacialSys/assets/img/m.png HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:33 +0800] "GET /FinacialSys/register HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:33 +0800] "GET /FinacialSys/assets/css/register.css HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:33 +0800] "GET /FinacialSys/assets/js/register.js HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:13:33 +0800] "GET /FinacialSys/assets/img/20.jpg HTTP/1.1" 200 929818
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:36:17 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [16/Oct/2017:11:37:53 +0800] "GET /FinacialSys/register HTTP/1.1" 200 3066
